blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
12914399,1627474807,0xe25d6c75ae782b65f6afdcbe34e8a38d9730ae6a6cf2702792f589beabf68166,9,0x149f838b0997af0c9b895c4fb5940d3e1cb733a3b648785783dfa09dfebbb774,180,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0x74ee68a33f6c9f113e22b3b77418b75f85d07d22,0,100000,24000000000,0,1,,75265,transaction,1806360000000000.0
12921633,1627574392,0x110e0ccedfb7d7480a1d311ba9a93a25a3afbef78c197bda1938ccc598959cec,10,0x39fdaf4661f74c2e58d07bcfb8a083b716d1dcb50e0835579927490216afe0c8,192,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0x722122df12d4e14e13ac3b6895a86e84145b6967,10000000000000000000,1013338,31000000000,0,1,,963338,transaction,2.9863478e+16
12964377,1628158379,0x3d7968fc4f5626032a21110affb9fe148d3c9e8956cedc79bfa1c3f408141c06,11,0x3784b0264f3b925779e71e998883646f6d76689e9be4e5bd2fc294db2e12a840,170,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0xdac17f958d2ee523a2206206994597c13d831ec7,0,94795,48000000000,0,1,,63197,transaction,3033456000000000.0
12964391,1628158583,0x2ad2d11ed7005cac98c01a4bffa514d60db5501a347b6ee62ce28bea0f358890,12,0xeaacab0371b12d1f2b241611d8dd4ed7c7680dc15c54f688f532c764a0e8160b,41,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0xdac17f958d2ee523a2206206994597c13d831ec7,0,69163,43000000000,0,1,,46109,transaction,1982687000000000.0
12990097,1628501323,0x7f9a3072e7062a48e3e62f372653f59ae481c647af658774821dbe74fa1f7338,13,0xeb1c05a02ab352d033809ebf19acc19c0c36a0764e953a24a847546f43fb9cee,100,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0xcc531095a68a08c983ec900272d1ea2d4fa07525,500000000000000000,21000,33000000000,0,1,,21000,transaction,693000000000000.0
13005616,1628707973,0xa69967f0563fbb32341a77a0103f15af1f15e27b2a18192e246f579aa7079ff6,14,0x1d3b76d352f96d303d4a5688bdc25cb58f0edf8181b4a3f6a8e4caf2fe4483de,269,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,101000000000000000,46000,53000000000,0,1,,45694,transaction,2421782000000000.0
13005623,1628708082,0x585d70521dbc5ba259b57a13a6913b6dce017e8a221855236d8b440a19c8a43a,15,0x319b99974d15e0a3c97e279b779eb177dc40bd9f6f522cf2df517687f879b0b2,95,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,0,46364,53346659084,0,1,,46364,transaction,2473364501770576.0
13005632,1628708256,0x7489bcba8fcd2f9b3e3dfa8a72da6b70fad6f191950d2058bc8b9b52350f965c,16,0x1f0b6c92d39dfd346f8d69ef38f146813859f7a966136a341481892f1e0aed5a,33,0xc96004A52dc20BE8CD322c22F0E06210628D0aC2,0x020171085bcd43b6fd36ad8c95ad61848b1211a2,0,136023,61210534626,0,1,,51223,transaction,3135387215147598.0
,,,,,,,,,,,,,,,,4.540951471691818e+16
