blockNumber,timeStamp,hash,nonce,blockHash,transactionIndex,from,to,value,gas,gasPrice,isError,txreceipt_status,contractAddress,gasUsed,tx_type,weiSpentOnGas
13052160,1629329162,0x349428084b199ab8dfc1863a83c81de17ded132427dc3d11db3323006027769a,306,0xc4503eb23b29c23a4ea7ae9ebecc8fa4f8ce770029f9ad0bd0767777e1b717df,131,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,3000000,39120132234,0,1,,101189,transaction,3.95853E+15
13052249,1629330649,0xf5f96489dbbfcc9ddb8c09079363488dbd5c9888eb7bdd9300996c66199bec92,307,0x5d6ca2c162a2b5e1811e5afde1178f680c5580f8158180e46daa8e871750d5d2,66,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,5000000,49557893627,0,1,,899545,transaction,4.46E+16
13056496,1629386738,0x9333cf159317a7d455ac31b8172182d8a1247521cca078dde80d5f536e105cfa,308,0x7e8fc8afe932b6b1a147ebdca2732d483b63cce69b914714d45f9da9286a9198,77,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,5000000,48821320833,0,1,,417066,transaction,2.04E+16
13059984,1629433455,0x2f8cd1d80a50aa2f72b11b931b6185c1468b26761cdd7de5535042402bad3cb9,309,0xc264e363ce1ad74fddcf17213f6f446278e3c1ce4fb1af628a991cbc713345c5,43,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,8000000,38315992799,0,1,,2842093,transaction,1.09E+17
13063746,1629484412,0x9dae04e6e6badcdd2c3ddadd385cd530a535a34dff5517a675a25d6806ba5988,310,0x1bd6388247d624621af12026b5a70e779d01f6b99ad0660e9f36b70a7811f83c,161,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x6c0496fc55eb4089f1cf91a4344a2d56face51e3,0,2907352,46153653006,0,1,,1593166,transaction,7.35E+16
13063864,1629485893,0xa773ca5160226971c31292d4b05d4e47dc793c4d762b14f5bd21cf6b2495516f,311,0x452780625fc63070fb6d506c6dfbe950db37c40c892472a5706b92257d1b9423,86,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xf0aaba6bb8e6bae83ea984bc4b7dcf0ff54a8fef,0,2329378,45981326075,0,1,,1248811,transaction,5.74E+16
13063934,1629486686,0x7dc9684fe6ce7557b69ebfee221d1debbe539310974c7b82bd0f6f300f227758,312,0x5cef91ad8a5ea733bb103dd63ac900b115ada689f20d7366f2a67a2a1f4a0370,26,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,3000000,43859998425,0,1,,1243617,transaction,5.45E+16
13064442,1629493305,0xf6055873c38e5e9ebd320a00d5f834935a3368a74f7ac566735a6e09159d7da4,313,0xaec289f66a47ee5ed32c1b2e5876bbfc19af7fcf3c1ffaaa1253a4dcbb33704b,136,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,121135,41197694780,0,1,,119783,transaction,4.93478E+15
13064520,1629494251,0x8c1ddb7d325e38c4d61526acc1d5cccb5430f1532dbe7a81353021688a08cc35,314,0xc72ed1b54a63b747dade0271b01b4dc6fce4f718b66102f369cdb5209e99deb9,58,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,3000000,38620709997,0,1,,1035563,transaction,4.00E+16
13064938,1629499114,0x741e3e7d698f1bc824e52bca54e57ca6e690a9cf6aead845ed39d648c3b0642a,315,0x5d03b84b53961d28ba590c6df2abb659043351f9d3b1f379eb3601a836a95f09,191,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,3000000,30264425193,0,1,,1637921,transaction,4.96E+16
13065414,1629505234,0x5764237305177cb88bdf3c458a9a642e652aa1180ceee261c84b2b9098ab44bb,316,0x680d31d82c3aad2f3a10920f5f9703e3a964421d77af3f637c1c5a275dca4e7b,62,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,10000000,28088998307,0,1,,6662626,transaction,1.87E+17
13065528,1629506751,0x2fc06f959d46405705751eb5f5f68076888e5765029a49a8e970225115deac3e,317,0xff02f291295704a12a18840536d052cf7b792ef914e18ecea0c20cb004d486d1,296,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,4000000,24408733510,0,1,,2141560,transaction,5.23E+16
13065817,1629510513,0xb208acbb30476c7bde67af18c4a1e966f8cbc611442c32083bd5d356e500d68f,318,0x6e21c8afc9d037836c5b8e94d0c584fe8a90afaed6a687075cbd592baf764188,62,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x16388463d60ffe0661cf7f1f31a7d658ac790ff7,0,4000000,26745084709,0,1,,2382835,transaction,6.37E+16
13076924,1629659302,0xa8625655dee16111e94043f79ac698058e96187636cb634231323380b1449331,319,0x0532ff5fc4ce5e733bff2cd8af0539fa83b9ef9f8c0bec52adee5db23032b9ba,57,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0x2055cfd5cdbc90c60a202a1ac3ddfb71aec1ce98,0,42313,42667199124,0,1,,28209,transaction,1.2036E+15
13076925,1629659306,0xd508a293e71fa057986377faac8e1b5c9e0605f70bf35730ca5ba0ea68047f23,320,0xbcdd0c7e75d8aec073346119c5215677f717be507877cacc8a606d7a3431dbd6,120,0xBedf3Cf16ba1FcE6c3B751903Cf77E51d51E05b8,0xf0aaba6bb8e6bae83ea984bc4b7dcf0ff54a8fef,0,42247,39959211658,0,1,,28165,transaction,1.12545E+15
